time, local_time, values[0], values[1], values[2], values[3], values[4], values[5], values[6], values[7], values[8], values[9], values[10], values[11], values[12]
1515575878325213909, 0.0204749107361, 0.2, -5.88417111417e-17, 5.75124831309e-20, -4.49485293025e-16, -7.07776567244e-20, -1.93782937702e-16, -4.98807365307e-20, 5.41052110653e-05, 0.360047893247, 0.278360862299, 5.32567480094e-05, -0.638408756453, -3.27035150366e-05
1515575878334996938, 0.0302610397339, 0.2, 7.99247366684e-06, -1.06691089713e-06, -2.24660536913e-08, 2.00415792423e-10, 3.88749331662e-11, -9.29315247125e-10, 5.07044575853e-05, 0.360026239754, 0.278375798289, 5.32557583945e-05, -0.638402038623, -3.61042412478e-05
1515575878343278884, 0.0385448932648, 0.2, 1.17969615949e-05, -1.5747690219e-06, -3.15716269939e-08, 2.98221673347e-10, 5.78388541901e-11, -1.38265627745e-09, 4.90857148005e-05, 0.360015931442, 0.27838290859, 5.32552848086e-05, -0.638398840455, -3.77229812079e-05
1515575878361063003, 0.0563230514526, 0.2, 1.91016200322e-05, -2.54986947371e-06, -8.61779682926e-06, 4.89876679921e-10, 9.49949077354e-11, -2.27088768253e-09, 4.59777654346e-05, 0.360002294114, 0.278393424964, 5.3256029139e-05, -0.638395719201, -4.08326055015e-05
1515575878366283893, 0.0615508556366, 0.2, 2.25780419597e-05, -3.0144411671e-06, -8.05480466863e-05, 5.81175065894e-10, 1.12973474941e-10, -2.70126071354e-09, 4.44970652929e-05, 0.360044534642, 0.278373602623, 5.32695062747e-05, -0.638418137244, -4.23272825e-05
1515575878375638961, 0.0709018707275, 0.2, 2.57490050709e-05, -3.44718168631e-06, -0.000359949282252, 6.42440809501e-10, 1.29824682509e-10, -3.11340701728e-09, 4.31178046587e-05, 0.360236645238, 0.278277264623, 5.33232092202e-05, -0.638513909704, -4.37608627658e-05
1515575878380664110, 0.0759260654449, 0.2, 2.80533757862e-05, -3.82697221701e-06, -0.00103660618776, 5.25567669689e-10, 1.44676600136e-10, -3.53681541882e-09, 4.19070569225e-05, 0.360716625751, 0.278033749358, 5.34543036924e-05, -0.638750374829, -4.51035229147e-05
1515575878392116069, 0.0873799324036, 0.2, 2.82351762993e-05, -4.14183624401e-06, -0.00220980545297, -1.86772007416e-10, 1.57090913741e-10, -4.1054047096e-09, 4.09023034397e-05, 0.361559785404, 0.27760383312, 5.36833180376e-05, -0.639163618137, -4.63382809821e-05
1515575878407157897, 0.102448940277, 0.2, 1.57539245115e-05, -4.60797723065e-06, -0.00572826207923, -5.78877589416e-09, 1.76276773438e-10, -6.541400919e-09, 3.94073351957e-05, 0.364130624812, 0.276284611104, 5.43818955512e-05, -0.640415235353, -4.85336149012e-05
1515575878455871105, 0.151136875153, 0.2, -9.35135993666e-05, -5.11518281321e-06, -0.0151812884637, -4.64693044071e-08, 2.03558626867e-10, -2.10950613229e-08, 3.77231616668e-05, 0.37133699874, 0.272534183832, 5.63579635017e-05, -0.64387118176, -5.21924652071e-05
1515575878479976892, 0.1752409935, 0.2, -0.000434615356226, -5.13600263948e-06, -0.0292597091288, -1.74649039899e-07, 2.27626633415e-10, -6.40949816106e-08, 3.74449751574e-05, 0.383054520322, 0.266306273971, 5.96537638327e-05, -0.649360793307, -5.5748815298e-05
