time, local_time, values[0], values[1], values[2], values[3], values[4], values[5]
1515576640057696104, 0.0262019634247, -0.000187330651325, 2.0401374882e-05, 4.5273627378e-07, -7.42921938724e-09, -9.84963776109e-10, 3.11929461056e-08
1515576640058391094, 0.0268959999084, -0.000180754199732, 1.96859516093e-05, 3.97473759237e-07, -7.31568971581e-09, -9.69479802346e-10, 3.07044205827e-08
1515576640061075925, 0.0295789241791, -0.000174164080779, 1.89680517162e-05, 3.45697244104e-07, -7.19807893585e-09, -9.53536067935e-10, 3.0199330242e-08
1515576640063014030, 0.0315179824829, -0.000167921527463, 1.82880099714e-05, 3.00639811877e-07, -7.08455784077e-09, -9.38179658567e-10, 2.9712703376e-08
1515576640070640087, 0.0391550064087, -0.000167921749257, 1.82884903789e-05, 3.02586857806e-07, -7.08448867064e-09, -9.38149052367e-10, 2.97127743721e-08
1515576640080249071, 0.0487830638885, -0.000156430792809, 1.7038875878e-05, 0.00151381001723, -6.82254629057e-09, -9.04781889167e-10, 2.86627428328e-08
1515576640088430881, 0.0571610927582, -0.000147915198761, 1.61744265449e-05, 0.00633997230645, -6.21015810889e-09, -8.69171432744e-10, 2.76643334417e-08
1515576640106256008, 0.0747771263123, -0.000134981500769, 1.48725175252e-05, 0.0167953847064, -5.13813736412e-09, -8.04931746257e-10, 2.58508740008e-08
1515576640112373113, 0.0808849334717, -0.000107615370622, 1.31706900676e-05, 0.0322511745959, 2.27167491204e-09, -7.15350556568e-10, 2.53977012064e-08
1515576640127443075, 0.0959529876709, 2.01247644155e-05, 1.13385625984e-05, 0.0491940956191, 6.62098480834e-08, -6.21942497503e-10, 4.44711471999e-08
1515576640140805959, 0.10929608345, 7.36235733578e-05, 9.66043966395e-06, 0.0643443399981, 8.85835993379e-08, -5.3429671798e-10, 4.92640559253e-08
1515576640141407966, 0.110002040863, 0.000117789187984, 8.19775969546e-06, 0.0767211389663, 1.06647879799e-07, -4.59847909751e-10, 5.29973610565e-08
1515576640152271032, 0.120780944824, 0.000154729892154, 6.9014013179e-06, 0.0870681206383, 1.21379142985e-07, -3.95265820075e-10, 5.59002577868e-08
1515576640157555103, 0.126081943512, 0.00133284345148, 5.58397662074e-06, 0.0957814040044, 7.90638574631e-07, -3.86387422058e-10, 2.81550373586e-07
1515576640160907030, 0.129418134689, 0.0014505156896, 4.52924711791e-06, 0.103815154443, 8.52946826798e-07, -3.38569727809e-10, 3.010327447e-07
1515576640171279907, 0.13979101181, 0.00153640858637, 3.594113329e-06, 0.110800735049, 8.97792891714e-07, -2.95594548838e-10, 3.14755146329e-07
1515576640175896883, 0.144449949265, 0.00158271062753, 2.75658294513e-06, 0.11681206961, 9.20679475375e-07, -2.56213605887e-10, 3.21146696702e-07
1515576640191394090, 0.159905910492, 0.00159022584527, 2.00104166939e-06, 0.122010914134, 9.21991063783e-07, -2.19575302385e-10, 3.20309585131e-07
1515576640201529026, 0.170042037964, 0.00319545578052, 1.1112864056e-06, 0.125963663108, 1.85500098106e-06, -2.56250132225e-10, 6.21276498538e-07
1515576640205723047, 0.176024913788, 0.00317651464384, 5.105582739e-07, 0.129881082602, 1.84355356934e-06, -2.2636476027e-10, 6.16445851796e-07
1515576640209820032, 0.178343057632, 0.00356995669852, -7.69747174292e-08, 0.133107332449, 2.07710265326e-06, -2.18026208199e-10, 6.88408650034e-07
1515576640218894958, 0.187407016754, 0.00345144555899, -5.38051175979e-07, 0.136040049396, 2.010438346e-06, -1.90377824616e-10, 6.65599816692e-07
1515576640239952087, 0.208462953568, 0.00430350496493, -1.07351939715e-06, 0.138216179571, 2.52359525636e-06, -2.08144945724e-10, 8.22769588418e-07
1515576640244040012, 0.212553024292, 0.00414202340985, -1.42312687385e-06, 0.140413934508, 2.43391817625e-06, -1.8387086298e-10, 7.93010377225e-07
1515576640268513917, 0.237025976181, 0.00395333045816, -1.7219657657e-06, 0.142317815391, 2.32855127755e-06, -1.60632396273e-10, 7.58212977103e-07
1515576640286638021, 0.255149126053, 0.00647005927392, -2.34179719411e-06, 0.142942508941, 3.87789065133e-06, -2.60134025432e-10, 1.21895615728e-06
1515576640293546915, 0.262064933777, 0.00620321677095, -2.5537769718e-06, 0.144353624232, 3.73168741797e-06, -2.37342423492e-10, 1.17297687708e-06
1515576640299427032, 0.267941951752, 0.00587437727916, -2.72460989143e-06, 0.145568873625, 3.5496537952e-06, -2.13369211188e-10, 1.11577883672e-06
1515576640299705028, 0.26820898056, 0.0054882036924, -2.85624011877e-06, 0.14661365695, 3.33379220291e-06, -1.88256521483e-10, 1.04793075822e-06
1515576640305803060, 0.274342060089, 0.00739589538664, -3.27111049904e-06, 0.146620736383, 4.57602392542e-06, -2.69532896002e-10, 1.40150295166e-06
1515576640307760000, 0.276310920715, 0.00694543224328, -3.33946066035e-06, 0.147389632496, 4.32511146022e-06, -2.44203046673e-10, 1.32534826966e-06
1515576640319349050, 0.287862062454, 0.00648396240021, -3.38428512701e-06, 0.148050414123, 4.06600619241e-06, -2.19224416398e-10, 1.24657734092e-06
1515576640340271949, 0.30877995491, 0.00600740311144, -3.40651371085e-06, 0.148616713848, 3.79568057548e-06, -1.94298854783e-10, 1.16419640404e-06
1515576640350449085, 0.318970918655, 0.0103049747376, -4.08149097809e-06, 0.147223350539, 6.73502357454e-06, -3.98113209066e-10, 1.9712152583e-06
1515576640352593898, 0.321104049683, 0.00975512508083, -4.05423861626e-06, 0.147634741759, 6.42674494044e-06, -3.72165687157e-10, 1.88385710575e-06
1515576640367703914, 0.336214065552, 0.00977053540177, -4.09228626572e-06, 0.147742851441, 6.51588161659e-06, -3.7469827241e-10, 1.901914458e-06
1515576640371913909, 0.340461969376, 0.00917108858844, -4.02809343581e-06, 0.148038623786, 6.1728290159e-06, -3.47472273177e-10, 1.80492111731e-06
