time, local_time, values[0], values[1], values[2], values[3], values[4], values[5]
1516608742758872985, 0.00464105606079, -0.000240673575776, 1.99830160542e-05, 9.26863248096e-07, 1.819828464e-08, -1.10282325616e-09, 3.07668383222e-08
1516608742765737056, 0.011491060257, -0.00023269089934, 1.93197553267e-05, 8.05267061921e-07, 1.7883395095e-08, -1.08378394696e-09, 3.02363006761e-08
1516608742769890069, 0.0156421661377, -0.000224949541055, 1.86778664042e-05, 7.06850587868e-07, 1.7574260996e-08, -1.06516372546e-09, 2.97151809174e-08
1516608742777631998, 0.0233840942383, -0.000217569880943, 1.80648811137e-05, 6.15687336355e-07, 1.72762791709e-08, -1.04714348107e-09, 2.92128024186e-08
1516608742787813901, 0.0335850715637, -0.000210406352046, 1.74696957239e-05, 0.000109127100686, 1.6974969783e-08, -1.02889855517e-09, 2.87044826878e-08
1516608742795773983, 0.0415279865265, -0.000202498629996, 1.68128315524e-05, 0.000970098029669, 1.65789331383e-08, -1.00487731721e-09, 2.80348806156e-08
1516608742801733016, 0.0474841594696, -0.000191636463839, 1.59109035032e-05, 0.00406189912503, 1.5877049745e-08, -9.62244414357e-10, 2.68455095136e-08
1516608742810302019, 0.0560691356659, -0.000175666604615, 1.45851934429e-05, 0.0107599905817, 1.46675804251e-08, -8.88759683904e-10, 2.47948020429e-08
1516608742818051099, 0.0638151168823, -0.000149555706695, 1.28718836029e-05, 0.020662057687, 1.61039292641e-08, -7.87741150088e-10, 2.30440471676e-08
1516608742825700998, 0.0714659690857, -0.000124654883661, 1.10426833932e-05, 0.0315383066396, 1.59209672734e-08, -6.77976050301e-10, 2.05437571284e-08
1516608742834619045, 0.080384016037, -0.000102005311535, 9.3689336583e-06, 0.0412509908535, 1.56908022282e-08, -5.78441433641e-10, 1.8255883348e-08
1516608742842123031, 0.0878720283508, -8.29697587322e-05, 7.93215416965e-06, 0.0491856713386, 1.52888437367e-08, -4.946291432e-10, 1.62593953384e-08
1516608742850172042, 0.0959300994873, -6.72065873536e-05, 6.67044833511e-06, 0.0558193012795, 1.44165020486e-08, -4.2230774433e-10, 1.4354899556e-08
1516608742858459949, 0.10421204567, 0.00028329779008, 5.47176698776e-06, 0.0615425744265, 2.04619286582e-07, -3.72687297689e-10, 7.90143582354e-08
1516608742866287946, 0.112043142319, 0.000317708520268, 4.41029173807e-06, 0.0667074647119, 2.15983184791e-07, -3.14367198939e-10, 8.16573235347e-08
1516608742874871969, 0.120629072189, 0.000338060034103, 3.45036971961e-06, 0.071203079964, 2.20191165261e-07, -2.61714011573e-10, 8.19501214951e-08
1516608742882539987, 0.128308057785, 0.000340861532034, 2.58891124562e-06, 0.0750788748065, 2.15251884371e-07, -2.14250422959e-10, 7.91928751205e-08
1516608742890207052, 0.135976076126, 0.000325653692646, 1.81634249703e-06, 0.0784392683879, 2.00834918075e-07, -1.71208547339e-10, 7.32537006079e-08
1516608742898396968, 0.144165992737, 0.000294182646947, 1.12645667373e-06, 0.0813724880733, 1.7787947148e-07, -1.3209289218e-10, 6.44469267974e-08
1516608742907083034, 0.152845144272, 0.00123680442189, 3.78013563506e-07, 0.0835979191295, 7.16279793652e-07, -1.4336598575e-10, 2.45190796915e-07
1516608742914788961, 0.160557031631, 0.0011970595364, -1.6546025298e-07, 0.0858204306338, 6.90554475756e-07, -1.12055920098e-10, 2.35808612002e-07
1516608742922406911, 0.168163061142, 0.00113210705142, -6.45236629045e-07, 0.0877577674949, 6.51165915534e-07, -8.29541435543e-11, 2.21857244924e-07
1516608742929850101, 0.175609111786, 0.00104324524487, -1.06749281822e-06, 0.0894501760426, 5.98782412758e-07, -5.56923396289e-11, 2.03552476163e-07
1516608742937860965, 0.183621168137, 0.00093554204914, -1.43606779782e-06, 0.0909303479823, 5.36184470662e-07, -3.02982638978e-11, 1.81829744172e-07
1516608742946991920, 0.192754030228, 0.0021273588765, -1.93773648716e-06, 0.0917671550861, 1.24032065127e-06, -6.97851221254e-11, 4.10411171592e-07
1516608742954134941, 0.199898958206, 0.00200957374244, -2.21286475226e-06, 0.0928951972351, 1.17401641578e-06, -4.8757498039e-11, 3.88181637678e-07
1516608742961514949, 0.207267045975, 0.00234690149922, -2.51250497037e-06, 0.0937169540878, 1.38183072178e-06, -5.18082243772e-11, 4.53244829137e-07
1516608742970719099, 0.216477155685, 0.00243893421702, -2.74252107885e-06, 0.094499982004, 1.44473760886e-06, -4.48404646747e-11, 4.71970086524e-07
1516608742978347063, 0.224109172821, 0.00227417178684, -2.90429242271e-06, 0.0952656524992, 1.35318279646e-06, -2.69706479372e-11, 4.41904142713e-07
1516608742986325979, 0.23208117485, 0.00209355736329, -3.0343209937e-06, 0.0959418531354, 1.25257294277e-06, -9.77268266311e-12, 4.08858979093e-07
1516608742994442939, 0.240195035934, 0.00189843403159, -3.13540392619e-06, 0.0965404255568, 1.14353674267e-06, 6.8707262102e-12, 3.73022667271e-07
1516608743002309083, 0.248070001602, 0.00169025538021, -3.21037827266e-06, 0.097071626642, 1.0267593998e-06, 2.30317431793e-11, 3.3460193001e-07
1516608743011310100, 0.257078170776, 0.00273594296796, -3.44161943223e-06, 0.0970922148857, 1.68666208666e-06, -2.39524511336e-11, 5.41612746184e-07
1516608743018027067, 0.26379108429, 0.00251002420949, -3.47233349087e-06, 0.0975141182801, 1.56057630958e-06, -8.95794549649e-12, 5.01158280276e-07
1516608743025665998, 0.271419048309, 0.00227523772913, -3.48435947754e-06, 0.0978918701541, 1.42877495249e-06, 5.70810065881e-12, 4.58786867997e-07
1516608743034538984, 0.280303001404, 0.00203333751847, -3.47989775583e-06, 0.0982310301563, 1.29209706506e-06, 2.0075330287e-11, 4.14748742309e-07
1516608743042982101, 0.288738012314, 0.00178240154842, -3.45957422797e-06, 0.0985374382598, 1.14922786027e-06, 3.4314717734e-11, 3.68591731512e-07
1516608743050219058, 0.295986175537, 0.00282912158058, -3.61335243474e-06, 0.0983460924006, 1.83856674435e-06, -1.81736292681e-11, 5.82765732629e-07
1516608743058340072, 0.304094076157, 0.00256004322612, -3.56444066102e-06, 0.098601948389, 1.68493894113e-06, -4.2492120933e-12, 5.34267893244e-07
1516608743066246032, 0.312000989914, 0.00228412346181, -3.50429057404e-06, 0.0988365577722, 1.52597547428e-06, 9.67875779523e-12, 4.83919889612e-07
1516608743074202060, 0.319956064224, 0.00200137046486, -3.43383137215e-06, 0.0990529238566, 1.36139931515e-06, 2.36669017717e-11, 4.31599513014e-07
1516608743082341909, 0.328096151352, 0.001709062968, -3.35281254942e-06, 0.0992544657954, 1.18934750292e-06, 3.78819198232e-11, 3.76681051945e-07
1516608743089989900, 0.335745096207, 0.00140766463593, -3.26229466591e-06, 0.0994433369259, 1.00996432063e-06, 5.23570076183e-11, 3.19194688792e-07
1516608743097609043, 0.34336400032, 0.00270509774906, -3.40343080642e-06, 0.0990456136806, 1.90135982451e-06, -1.82288073525e-11, 5.96035241155e-07
1516608743106625080, 0.352401018143, 0.00240064286026, -3.30210043434e-06, 0.0992129996068, 1.71915005169e-06, -4.14818179806e-12, 5.39232785453e-07
1516608743114531040, 0.360294103622, 0.00209551383224, -3.19699474235e-06, 0.099370503948, 1.5343615122e-06, 9.95314941576e-12, 4.81375988029e-07
1516608743122083902, 0.367835998535, 0.00178908159029, -3.08841955198e-06, 0.0995196308439, 1.34649065973e-06, 2.41326403305e-11, 4.22291169869e-07
1516608743130877971, 0.376638174057, 0.00148118213556, -2.97682828226e-06, 0.0996615749077, 1.15532351405e-06, 3.84190457225e-11, 3.6189582932e-07
1516608743137526035, 0.383284091949, 0.00252263617694, -3.06971114457e-06, 0.0993143685805, 1.9081345571e-06, -2.1888602042e-11, 5.94755214669e-07
1516608743146737098, 0.392498970032, 0.00248560456661, -2.99663421324e-06, 0.0993487057033, 1.90837967998e-06, -2.29807284313e-11, 5.94300078711e-07
1516608743153683900, 0.399434089661, 0.00217806935897, -2.88038751537e-06, 0.0994758997177, 1.71291645402e-06, -8.81705819467e-12, 5.33861409654e-07
1516608743161638975, 0.40739607811, 0.00187027226022, -2.7632721941e-06, 0.0995988314927, 1.51451962218e-06, 5.51719780972e-12, 4.72198603012e-07
1516608743170346975, 0.416100025177, 0.00156237173465, -2.64565624351e-06, 0.0997180186496, 1.31320858346e-06, 2.0029811143e-11, 4.09305327427e-07
1516608743177865028, 0.423619031906, 0.0012548671857, -2.52800151086e-06, 0.0998337984036, 1.10926855495e-06, 3.47006867685e-11, 3.45263181446e-07
1516608743186647891, 0.432410955429, 0.000949518206289, -2.41120521387e-06, 0.0999460579477, 9.03957771669e-07, 4.94584373456e-11, 2.80474847788e-07
1516608743194788932, 0.440550088882, 0.00201142701164, -2.51273279943e-06, 0.0995726665622, 1.70813013778e-06, -1.53414503323e-11, 5.30370838613e-07
1516608743202131986, 0.447891950607, 0.0017170240592, -2.40066888027e-06, 0.099679192217, 1.50763124201e-06, -1.09656728142e-12, 4.68372938273e-07
1516608743210971117, 0.456725120544, 0.00142189172212, -2.2889445155e-06, 0.0997840441303, 1.30340711819e-06, 1.34323108192e-11, 4.04858072974e-07
1516608743218729972, 0.46448802948, 0.00112092766192, -2.17580633732e-06, 0.0998890557521, 1.09158032386e-06, 2.85133028299e-11, 3.38578713482e-07
1516608743226408958, 0.472167015076, 0.000816052378817, -2.06205902644e-06, 0.0999938323435, 8.73647924274e-07, 4.40597003326e-11, 2.70016249724e-07
1516608743234381914, 0.480137109756, 0.0021561667582, -2.21931879625e-06, 0.0995175910047, 1.92870839002e-06, -4.0288661296e-11, 5.95257744563e-07
1516608743242446899, 0.488208055496, 0.00186241951271, -2.11151224699e-06, 0.0996193033842, 1.71663750907e-06, -2.53035370434e-11, 5.30274865447e-07
1516608743251471996, 0.497236967087, 0.00156963622003, -2.00520341089e-06, 0.099719684193, 1.50189251224e-06, -1.00918162715e-11, 4.64095975691e-07
1516608743258169889, 0.503935098648, 0.00127135169964, -1.89820286985e-06, 0.0998209118088, 1.27934096828e-06, 5.70671288003e-12, 3.95094284193e-07
1516608743265858888, 0.511615991592, 0.000967395555555, -1.79049995222e-06, 0.099923131367, 1.0488511019e-06, 2.21331841743e-11, 3.23225423859e-07
1516608743274688005, 0.520437955856, 0.000662419780179, -1.68372853457e-06, 0.100024930065, 8.14111907244e-07, 3.8906655675e-11, 2.49652609693e-07
1516608743282687902, 0.528453111649, 0.00173448219013, -1.81212232517e-06, 0.0996450068232, 1.69952688291e-06, -3.19743675981e-11, 5.21849460293e-07
